wind_onshore,pv,load,installed_renewables
0.752,0,0.09222739726,0
0.770,0,0.07716986301,0
0.800,0,0.06681780822,0
0.835,0,0.06399452055,0
0.854,0,0.06023013699,0
0.858,0,0.05834794521,0
0.856,0,0.05740684932,0
0.849,0,0.0592890411,0
0.836,0,0.06587671233,0
0.812,0.082,0.06964109589,0.082
0.821,0.323,0.07434657534,0.323
0.837,0.509,0.07622876712,0.509
0.829,0.636,0.07905205479,0.636
0.793,0.715,0.08469863014,0.715
0.749,0.743,0.08658082192,0.743
0.726,0.724,0.08658082192,0.724
0.737,0.663,0.08752191781,0.663
0.770,0.550,0.08469863014,0.550
0.800,0.381,0.08281643836,0.381
0.825,0.160,0.08281643836,0.160
0.829,0.003,0.08469863014,0.003
0.830,0,0.09881506849,0
0.845,0,0.1035205479,0
0.844,0,0.09881506849,0
0.835,0,0.09222739726,0
0.820,0,0.07716986301,0
0.801,0,0.06681780822,0
0.779,0,0.06399452055,0
0.759,0,0.06023013699,0
0.779,0,0.05834794521,0
0.777,0,0.05740684932,0
0.771,0,0.0592890411,0
0.753,0,0.06587671233,0
0.733,0.070,0.06964109589,0.070
0.746,0.305,0.07434657534,0.305
0.750,0.509,0.07622876712,0.509
0.746,0.639,0.07905205479,0.639
0.737,0.718,0.08469863014,0.718
0.739,0.745,0.08658082192,0.745
0.761,0.724,0.08658082192,0.724
0.798,0.650,0.08752191781,0.650
0.835,0.506,0.08469863014,0.506
0.865,0.306,0.08281643836,0.306
0.887,0.107,0.08281643836,0.107
0.887,0.002,0.08469863014,0.002
0.887,0,0.09881506849,0
0.897,0,0.1035205479,0
0.897,0,0.09881506849,0
0.890,0,0.09222739726,0
0.874,0,0.07716986301,0
0.871,0,0.06681780822,0
0.891,0,0.06399452055,0
0.894,0,0.06023013699,0
0.889,0,0.05834794521,0
0.887,0,0.05740684932,0
0.885,0,0.0592890411,0
0.874,0,0.06587671233,0
0.870,0.032,0.06964109589,0.032
0.878,0.172,0.07434657534,0.172
0.870,0.292,0.07622876712,0.292
0.840,0.396,0.07905205479,0.396
0.812,0.451,0.08469863014,0.451
0.793,0.487,0.08658082192,0.487
0.787,0.453,0.08658082192,0.453
0.807,0.368,0.08752191781,0.368
0.845,0.283,0.08469863014,0.283
0.880,0.188,0.08281643836,0.188
0.913,0.082,0.08281643836,0.082
0.931,0.002,0.08469863014,0.002
0.952,0,0.09881506849,0
0.966,0,0.1035205479,0
0.972,0,0.09881506849,0
0.973,0,0.09222739726,0
0.970,0,0.07716986301,0
0.966,0,0.06681780822,0
0.963,0,0.06399452055,0
0.960,0,0.06023013699,0
0.958,0,0.05834794521,0
0.949,0,0.05740684932,0
0.933,0,0.0592890411,0
0.914,0,0.06587671233,0
0.911,0.058,0.06964109589,0.058
0.923,0.260,0.07434657534,0.260
0.923,0.455,0.07622876712,0.455
0.913,0.601,0.07905205479,0.601
0.896,0.708,0.08469863014,0.708
0.871,0.739,0.08658082192,0.739
0.856,0.710,0.08658082192,0.710
0.862,0.642,0.08752191781,0.642
0.874,0.522,0.08469863014,0.522
0.886,0.348,0.08281643836,0.348
0.897,0.157,0.08281643836,0.157
0.894,0.004,0.08469863014,0.004
0.889,0,0.09881506849,0
0.897,0,0.1035205479,0
0.899,0,0.09881506849,0
0.900,0,0.09222739726,0
0.898,0,0.07716986301,0
0.895,0,0.06681780822,0
0.891,0,0.06399452055,0
0.884,0,0.06023013699,0
0.880,0,0.05834794521,0
0.881,0,0.05740684932,0
0.879,0,0.0592890411,0
0.879,0,0.06587671233,0
0.889,0.040,0.06964109589,0.040
0.913,0.199,0.07434657534,0.199
0.916,0.373,0.07622876712,0.373
0.905,0.541,0.07905205479,0.541
0.894,0.661,0.08469863014,0.661
0.889,0.710,0.08658082192,0.710
0.892,0.723,0.08658082192,0.723
